AdvID,#NikonToken,Adv,Label,Description
398450329,1,nikon f50 35mm film camera great shape with extras!!,Nikon F50 35mm SLR Film Camera,Added in the list
408100821,1,nikon mh-53 and energizer en-el1 battery for coolpix,Nikon MH-53 Battery Charger,Added in the list
414721472,1,nikon f-401 & n2020 vintage af film cameras w original boxes +,"Nikon N2020 35mm SLR Film CameraNikon F401/N4004 SLR camera",Added in the list
415469279,1,nikon dx lens,NO MATCH,
419789184,1,nikon d70 dslr camera with 55 – 200mm f/4-5.6g lens included,Nikon D70,
420563014,1,nikon d3000 camera with lens,Nikon D3000,
428114009,1,nikon d700 body,Nikon D700,Context: Body
430497561,1,nikon d90 package w/ multiple lenses + accessories,Nikon D90,
433559762,1,"nikon nikkor af 70-210mm f/4-5.6 ""d"" lens",Nikon 70-210mm f/4-5.6,Added in the list
439353117,1,mint condition nikon nikkor 18-135mm zoom lens,Nikon 18-135mm f/3.5-5.6G ED-IF AF-S DX Zoom,Added in the list
439914247,1,nikon 18-105mm af vr lens dx,Nikon AF-S DX NIKKOR 18-105mm f/3.5-5.6G ED VR,
442655149,1,nikon d40x dslr camera kit- 18-55mm & 55-200 lenses & travel bag,Nikon D40x,
442809750,1,nikon cool pix 4500,COOLPIX 4500,Added in the list
443479429,1,nikon d100 body plus extras,Nikon D100,Context: Body
443486857,1,nikon d200 body plus extras,Nikon D200,Context: Body
443522567,1,nikon digital camera,NO MATCH,
444421342,1,nikon battery charger - mh-63,Nikon MH-63 Battery Charger,Added in the list
445522427,1,sigma 120-400mm 4.5-5.6 apo dg nikon mount,NO MATCH,
449073239,1,nikon d300 with battery grip,Nikon D300,
450448002,1,"wanted: nikon d5100 wanted in damaged, broken or dead condition",Nikon D5100,
450850601,1,nikon af vr nikkor 80-400mm f/4.5-5.6d ed,Nikon AF-S NIKKOR 80-400mm f/4.5-5.6 G ED VR,
451048445,1,nikon d300 + sigma 18-200 lens + filters,Nikon D300,
452771170,1,nikon binocular - bill jordan's realtree outdoor apg hd,NO MATCH,
453079993,1,nikon cool pix s570 12.0 megapixel+ case,Nikon COOLPIX S570,Added in the list
453341194,1,digipower replacement lithium-ion battery for nikon enel10 (bp-n,NO MATCH,
454049111,1,nikon d5000 w/ accessories,Nikon D5000,
454161658,1,nikon slr f55,Nikon F55,
454470658,1,nikon d90 w/ 18-105mm & sb 600 flash + accessories,"Nikon D90Nikon AF-S DX NIKKOR 18-105mm f/3.5-5.6G ED VR",
454687702,1,sigma 70-300mm f4-5.6 telephoto/macro for nikon dx.,NO MATCH,
456998691,1,nikon 500 mm. f4,Nikon AF-S NIKKOR 500mm F4G ED VR,
457238273,1,nikon ji camera comes with two lens's,Nikon 1 J1,Added in the list
457569805,1,nikon coolpix l24 digital camera red,Nikon COOLPIX L24,Added in the list
457886670,1,nikon 16-85mm f3.5-5.6 vr af-s dx,Nikon AF-S DX NIKKOR 16-85mm F3.5-5.6G ED VR,
458199481,1,nikon af-s dx nikkor 18-200mm f/3.5-5.6 ed dx vrii lens / filter,Nikon AF-S DX NIKKOR 18-200mm f/3.5-5.6G ED VR II,
458202971,1,clarion in dash dvd for nikon or canon dslr,NO MATCH,
459244716,1,nikon film camera,NO MATCH,
459546912,1,nikon coolpix p4 digital camera,Nikon COOLPIX P4,Added in the list
459556975,1,nikon d7000 with 18-105 vr lens and lens filter pristine shape,"Nikon D7000Nikon AF-S DX NIKKOR 18-105mm f/3.5-5.6G ED VR",
459951809,1,wanted: looking for nikon nikkor 70-200mm f/2.8g if-ed,Nikon AF-S NIKKOR 70-200mm f/2.8G ED VR II,
460641273,1,nikon coolpix p7000 (with case),Nikon COOLPIX P7000,Added in the list
460839211,1,nikon d90 18 200 lens,"Nikon D90Nikon AF-S DX NIKKOR 18-200mm f/3.5-5.6G ED VR II",
460980030,1,nikon coolplix s3100 blue,Nikon COOLPIX S3100,Added in the list
461012319,1,nikon coolpix p100,Nikon COOLPIX P100,Added in the list
461019285,1,nikon coolpix camera,NO MATCH,
461167864,1,nikon d40x body digital slr camera,Nikon D40x,Context: Body
461247750,1,"nikon 24-85 vr, for sale or trade",Nikon AF-S NIKKOR 24-85mm f/3.5-4.5G ED VR,
461303733,1,sigma 18-250mm camera lens for nikon,NO MATCH,
461317489,1,nikon d80 with brand new af-s nikkor 18-135mm,Nikon D80,
461451163,1,nikon 18-200 vr zoom lens,Nikon AF-S DX NIKKOR 18-200mm f/3.5-5.6G ED VR II,
461519532,1,nikon d50 with zoom lens,Nikon D50,
461533521,1,nikon d800 body with multi power battery pack,Nikon D800,Context: Body
461755207,1,nikon tele-photo,NO MATCH,
461838559,1,nikon 24-85mm f/3.5-4.5g lens **brand new in box**,Nikon AF-S NIKKOR 24-85mm f/3.5-4.5G ED VR,
461881897,1,nikon 18-200mm vr1 (mint condition),Nikon AF-S DX NIKKOR 18-200mm f/3.5-5.6G ED VR II,
461902865,1,nikon d60,Nikon D60,
461922490,1,sigma 150-500mm apo hsm for nikon,NO MATCH,
461956582,1,nikon d - 80 w/2 lenses,Nikon D80,
462196109,1,nikon d3000 with accessories,Nikon D3000,
462302116,1,lenses and accessories for nikon,NO MATCH,
462310854,1,nikon af-s 70-300mm lens,Nikon AF-S VR Zoom-Nikkor 70-300mm f/4.5-5.6G IF-ED,
462314774,1,sold nikon d7000 best kit ever! + lots of accessories sold,Nikon D7000,
462636116,1,nikon d40x w/ 18-55 & 55-200mm lenses,Nikon D40x,
462637156,1,nikon sb 900 flash,Nikon SB-900 AF Speedlight,Added in the list
462640421,1,rrs nikon d7000 l-bracket,Nikon D7000,Context: Bracket
462779734,1,"nikon 18-105, canon 40 f2.8, canon 18-55 lens",Nikon AF-S DX NIKKOR 18-105mm f/3.5-5.6G ED VR,
462832872,1,nikon 35mm camera,NO MATCH,
462961321,1,selling nikon coolpix p510 for 300 (350 for bag and 3 year war),Nikon COOLPIX P510,Added in the list
463196107,1,wanted: nikon lenses,NO MATCH,
463210118,1,for sale - nikon d2x camera body,Nikon D2X,Context: Body
463356313,1,nikon,NO MATCH,
463486158,1,nikon d70 w/ 18-70mm lens,Nikon D70,
463499411,1,nikon coolpix black,NO MATCH,
463514316,1,"nikon d80 for sale,18-70/55-200 lens!",Nikon D80,
463766300,1,tokina 80-200mm f4 mc telephoto zoom lens in nikon ais mount,NO MATCH,
463827613,1,tamron 90mm f2.8 macro lens nikon mount,NO MATCH,
464045182,1,nikon 80-200mm f2.8 d 2 ring version,Nikon AF Zoom-NIKKOR 80-200mm f/2.8D ED,
464096133,1,nikon en-el9a slr battery,Nikon EN-EL9a Rechargeable Li-ion Battery,Added in the list
464151090,1,"tamron 90mm f/2.8 macro lens, nikon mount",NO MATCH,
464443505,1,nikon d200,Nikon D200,
464446201,1,nikon fish eye lens dx,Nikon AF DX Fisheye-Nikkor 10.5mm f/2.8G ED,
464446849,1,nikon 12-24mm f/4g ed,Nikon AF-S DX Zoom-Nikkor 12-24mm f/4G IF-ED,
464448140,1,nikon 18-200 mm f3.5 dx,Nikon AF-S DX NIKKOR 18-200mm f/3.5-5.6G ED VR II,
464448622,1,nikon 17-55mm f2.8 dx,Nikon AF-S DX Zoom-Nikkor 17-55mm f/2.8G IF-ED,
464488485,1,nikon d3100,Nikon D3100,
464494764,1,wanted: wanted: nikon af-s 50mm 1.8g,Nikon AF-S NIKKOR 50mm f/1.8G,
464501686,1,"fs: ""ln"" kenko teleplus pro 300 dgx 2x teleconverter - nikon ver",NO MATCH,
465156367,1,nikon 55-200mm f/4.5-5.6 vr,Nikon AF-S DX Zoom-NIKKOR 55-200mm f/4-5.6G ED,
465157043,1,nikon 18-55mm f/3.5-5.6,"Nikon AF-P DX NIKKOR 18-55mm f/3.5-5.6GNikon AF-S DX Zoom-Nikkor 18-55mm f/3.5-5.6G ED IINikon AF-P DX NIKKOR 18-55mm f/3.5-5.6G VRNikon AF-S DX NIKKOR 18-55mm f/3.5-5.6G VR II",
465169011,1,nikon 50mm 1.8d,Nikon AF Nikkor 50mm f/1.8D,
465344883,1,nikon d80 with af-s nikkor 18-55mm lens,Nikon D80,
465378840,1,nikon d5000,Nikon D5000,
465436764,1,"nikon mb-d10 battery grip for d300, d700 $220 obo",NO MATCH,
465440819,1,"nikon dk-17m magnifying eyepiece for d3, d2, d1, d700, f6, f5,f4",NO MATCH,
465446837,1,nikon f5,Nikon F5,Added in the list
465612784,1,nikon coolpix l120 14.1 mp digital camera +case+8 gb stick,Nikon COOLPIX L120,Added in the list
465678898,1,nikon d3100 digipower multi power battery pack,Nikon D3100,Context: Battery pack
465912025,1,nikon d70s body only or with lens,Nikon D70s,Context: Body
465914173,1,nikon mh-23 charger for d40,Nikon MH-23 Quick Charger,Added in the list
465927412,1,2 lenses for nikon for sale that are surplus to me needs.,NO MATCH,
466245544,1,nikon d200 body,Nikon D200,Context: Body
466252657,1,nikon 550 range finder,NO MATCH,
466287344,1,nikon d3000 barely used,Nikon D3000,
466321532,1,nikon lens - nikkor af-s dx 55-200mm,"Nikon AF-S DX VR Zoom-Nikkor ED 55-200mm F4-5.6GNikon AF-S DX Zoom-NIKKOR 55-200mm f/4-5.6G EDNikon AF-S DX NIKKOR 55-200mm f/4-5.6G ED VR II",
466327270,1,nikon af-s zoom nikkor dx 55-200mm f/4.5-5.6 vr,Nikon AF-S DX Zoom-NIKKOR 55-200mm f/4-5.6G ED,
466563199,1,wanted: nikon to canon adaptor,NO MATCH,
466588520,1,nikon coolpix p100 - 26x zoom,Nikon COOLPIX P100,
466757163,1,wanted: nikon 200-400mm f4,Nikon AF-S NIKKOR 200-400mm f/4G ED VR II,
466869962,1,nikon 18-105mm lens,Nikon AF-S DX NIKKOR 18-105mm f/3.5-5.6G ED VR,
466959367,1,"perfect nikon 18-105mm 3.5-5.6, with uv. take best offer!!",Nikon AF-S DX NIKKOR 18-105mm f/3.5-5.6G ED VR,
467389154,1,nikon slr camera with flash & 2 lens!,NO MATCH,
